ID,Label
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,1
50,3
51,1
52,1
53,3
54,1
55,1
56,1
57,1
58,1
59,3
60,1
61,1
62,3
63,1
64,1
65,3
66,3
67,1
68,3
69,3
70,3
71,1
72,3
73,1
74,1
75,1
76,1
77,1
78,1
79,3
80,1
81,1
82,1
83,3
84,3
85,1
86,1
87,1
88,3
89,1
90,1
91,3
92,3
93,1
94,1
95,3
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,8
214,8
215,8
216,8
217,1
218,8
219,8
220,1
221,8
222,1
223,8
224,1
225,1
226,8
227,8
228,8
229,8
230,8
231,8
232,1
233,8
234,8
235,8
236,8
237,1
238,8
239,8
240,8
241,8
242,1
243,1
244,8
245,1
246,8
247,1
248,1
249,8
250,1
251,8
252,1
253,8
254,8
255,8
256,8
257,8
258,8
259,1
260,1
261,8
262,8
263,1
264,1
265,1
266,8
267,8
268,8
269,8
270,1
271,1
272,1
273,8
274,8
275,8
276,8
277,8
278,8
279,2
280,8
281,8
282,8
283,8
284,8
285,2
286,8
287,2
288,2
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,2
301,8
302,8
303,8
304,8
305,8
306,8
307,2
308,8
309,8
310,8
311,2
312,2
313,8
314,8
315,8
316,8
317,8
318,8
319,8
320,8
321,8
322,2
323,2
324,8
325,8
326,8
327,2
328,8
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,4
543,4
544,4
545,4
546,4
547,4
548,2
549,2
550,2
551,4
552,4
553,4
554,4
555,2
556,2
557,2
558,4
559,4
560,4
561,2
562,2
563,2
564,4
565,4
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,4
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,4
608,2
609,4
610,4
611,2
612,2
613,4
614,4
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,4
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,2
669,2
670,2
671,2
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,2
680,2
681,2
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,2
693,2
694,2
695,2
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,2
706,2
707,2
708,2
709,8
710,8
711,2
712,8
713,8
714,8
715,2
716,8
717,8
718,2
719,8
720,8
721,8
722,2
723,8
724,8
725,8
726,8
727,8
728,2
729,8
730,8
731,2
732,8
733,8
734,2
735,8
736,8
737,8
738,8
739,8
740,3
741,2
742,8
743,2
744,8
745,8
746,2
747,2
748,8
749,2
750,8
751,2
752,8
753,2
754,8
755,8
756,8
757,8
758,8
759,2
760,8
761,8
762,3
763,2
764,2
765,8
766,8
767,8
768,8
769,8
770,8
771,8
772,2
773,8
774,3
775,8
776,8
777,8
778,8
779,8
780,8
781,8
782,8
783,8
784,8
785,8
786,8
787,8
788,8
789,8
790,8
791,8
792,8
793,8
794,8
795,8
796,8
797,8
798,8
799,8
800,8
801,8
802,8
803,8
804,8
805,8
806,8
807,8
808,8
809,8
810,8
811,8
812,8
813,8
814,8
815,8
816,8
817,8
818,8
819,8
820,8
821,8
822,8
823,8
824,8
825,8
826,8
827,8
828,8
829,8
830,8
831,8
832,8
833,8
834,8
835,8
836,8
837,8
838,8
839,8
840,8
841,8
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,8
862,1
863,1
864,8
865,1
866,1
867,1
868,8
869,1
870,1
871,8
872,8
873,8
874,1
875,8
876,8
877,8
878,1
879,1
880,8
881,8
